4000000,98,407034,496,28,6.5
42000,80,17347,36,2,6.4
11000000,121,696398,3296,82,8.1
94000000,100,6997176,5248,1704,7.6
55000000,142,12699,62,2,8.3
15000000,122,176729,143,19,7.9
839727,119,15499,135,1,8
12800000,140,841715,1848,67,7.7
90000000,126,40091,120,3,7.3
140000000,143,1239447,3090,82,7.5
30000000,111,20456,72,5,7.8
72000000,125,1715071,4673,171,6.6
1000000,66,544721,145,29,5.1
31500000,153,476001,582,32,8.1
14000000,131,13315,81,1,7.8
75000000,87,1399845,2506,211,6.9
20000000,108,74229,755,6,7.9
200000000,151,444710,NULL,NULL,7
32000000,96,8429,3,0,7
10500000,149,11432,23,2,7.9
29500000,129,965876,1064,62,7.4
242875078,110,404543,813,25,6.8
50000000,121,128711,71,6,6.4
15000000,132,1876772,3344,146,7.6
28000000,136,32263,47,3,7.3
30000000,132,806923,937,28,7.7
5000000,110,655197,1390,65,7.4
20000000,119,938125,1556,89,8.2
132000000,116,2508389,3490,201,6.2
70000000,106,12571,28,1,6.1
2500000,105,94282,329,3,7.7
9000000,113,288395,627,10,8.1
28000000,117,221692,1067,10,7.9
2700000,80,1102818,1345,72,7.6
135000000,134,19482,31,1,5.7
130000,79,1079257,1118,150,5.3
18000000,115,17305,107,0,7.7
28000000,118,184164,174,21,7.1
6000000,100,768269,456,60,7.1
48000000,127,409472,NULL,NULL,7.6
15000000,105,6656,19,1,6.8
140000000,151,13106,23,4,6.5
20000000,100,7109,31,2,6.1
17000000,96,6394,15,4,6.6
103000000,155,243947,NULL,NULL,7.9
1350000,105,761513,807,29,7.5
1300000,114,318313,475,22,8.1
19000000,116,951585,2266,68,8.1
18000000,107,159709,511,14,7.3
10000000,103,560414,NULL,NULL,7.7
25000000,170,234008,648,122,8
14000000,119,2683400,4131,213,7
15000000,117,2391766,3926,166,7.8
15000000,124,607264,565,52,7.3
25000000,119,167205,NULL,NULL,7.6
150000000,115,114953,138,12,6.7
93000000,178,1799427,4370,141,8.1
79000000,179,593511,2330,41,8.1
94000000,201,115903,246,7,8.2
4000000,132,364215,722,38,6.1
26000000,106,1423698,1314,51,7.3
14600000,101,1537482,3762,135,7.4
355000,72,110418,430,6,7.1
6000000,113,160688,532,23,7.7
14000000,134,45471,NULL,NULL,7.5
1250000,133,3155,23,0,7.5
5000000,112,15144,NULL,NULL,6.8
